,book_name_kor,book_name_eng,chapter_count
0,창세기,Genesis,50
1,출애굽기,Exodus,40
2,레위기,Leviticus,27
3,민수기,Numbers,36
4,신명기,Deuteronomy,34
5,여호수아,Joshua,24
6,사사기,Judges,21
7,룻기,Ruth,4
8,사무엘상,1 Samuel,31
9,사무엘하,2 Samuel,24
10,열왕기상,1 Kings,22
11,열왕기하,2 Kings,25
12,역대상,1 Chronicles,29
13,역대하,2 Chronicles,36
14,에스라,Ezra,10
15,느헤미야,Nehemiah,13
16,에스더,Esther,10
17,욥기,Job,42
18,시편,Psalms,150
19,잠언,Proverbs,31
20,전도서,Ecclesiastes,12
21,아가,Song of Solomon,8
22,이사야,Isaiah,66
23,예레미야,Jeremiah,52
24,예레미야애가,Lamentations,5
25,에스겔,Ezekiel,48
26,다니엘,Daniel,12
27,호세아,Hosea,14
28,요엘,Joel,3
29,아모스,Amos,9
30,오바댜,Obadiah,1
31,요나,Jonah,4
32,미가,Micah,7
33,나훔,Nahum,3
34,하박국,Habakkuk,3
35,스바냐,Zephaniah,3
36,학개,Haggai,2
37,스가랴,Zechariah,14
38,말라기,Malachi,4
39,마태복음,Matthew,28
40,마가복음,Mark,16
41,누가복음,Luke,24
42,요한복음,John,21
43,사도행전,Acts,28
44,로마서,Romans,16
45,고린도전서,1 Corinthians,16
46,고린도후서,2 Corinthians,13
47,갈라디아서,Galatians,6
48,에베소서,Ephesians,6
49,빌립보서,Philippians,4
50,골로세서,Colossians,4
51,데살로니가전서,1Thessalonians,5
52,데살로니가후서,2Thessalonians,3
53,디모데전서,1 Timothy,6
54,디모데후서,2 Timothy,4
55,디도서,Titus,3
56,빌레몬서,Philemon,1
57,히브리서,Hebrews,13
58,야고보서,James,5
59,베드로전서,1 Peter,5
60,베드로후서,2 Peter,3
61,요한1서,1 John,5
62,요한2서,2 John,1
63,요한3서,3 John,1
64,유다서,Jude,1
65,요한계시록,Revelation,22
